['8630976930#', '112.506154', '37.957016']
['8631093496#', '112.508028', '37.95601']
['8630782011#', '112.474828', '37.957809']
['8630433936#', '112.537973', '37.957535']
['8630142912#', '112.533762', '37.956465']
['8630841040#', '112.483288', '37.956885']
['8630509356#', '112.609446', '37.958201']
['8630222191#', '112.609418', '37.958155']
['8630248757#', '112.603968', '37.956435']
['8630717379#', '112.604401', '37.955041']
['8630435509#', '112.511189', '37.95268']
['8630707315#', '112.544103', '37.955227']
['8630701725#', '112.543233', '37.956134']
['0106647060#', '112.542097', '37.955521']
['8630490941#', '112.542116', '37.955506']
['8630255992#', '112.571093', '37.956976']
['8630027377#', '112.587287', '37.956949']
['8630440900#', '112.588135', '37.955901']
['8610145369#', '112.604727', '37.953734']
['8630427887#', '112.47169', '37.957197']
['8630483166#', '112.603932', '37.956368']
['8630007458#', '112.558132', '37.955201']
['8630246959#', '112.531308', '37.955629']
['8630971180#', '112.476153', '37.95655']
['8630167116#', '112.584966', '37.95304']
['8630841315#', '112.601733', '37.954952']
['8630357136#', '112.600382', '37.954959']
['8630061238#', '112.592667', '37.954892']
['8630146850#', '112.4886', '37.954272']
['8630050221#', '112.468231', '37.954438']
['8630506959#', '112.46829', '37.954448']
['8630035212#', '112.478556', '37.956297']
['8630977046#', '112.482609', '37.954712']
['0106664035#', '112.534184', '37.95544']
['8630718746#', '112.543015', '37.954827']
['8630142788#', '112.568274', '37.955972']
['8631070128#', '112.669852', '37.955771']
['8631057685#', '112.530722', '37.95402']
['8631057411#', '112.516337', '37.951211']
['8630149419#', '112.516289', '37.951029']
['8630291919#', '112.515164', '37.951068']
['8630972367#', '112.515365', '37.95071']
['8630009385#', '112.532307', '37.953757']
['8630149445#', '112.528778', '37.951907']
['0100232119#', '112.539932', '37.952284']
['8630115037#', '112.537778', '37.952454']
['8630592969#', '112.541876', '37.953137']
['8630357744#', '112.54711', '37.952328']
['8630428637#', '112.482859', '37.952613']
['8630037490#', '112.501285', '37.947054']
['8630489980#', '112.519889', '37.949804']
['8630748289#', '112.558581', '37.951579']
['8630325558#', '112.474297', '37.952233']
['8630778676#', '112.532965', '37.951862']
['8630976735#', '112.540834', '37.951473']
['8630068330#', '112.558413', '37.951505']
['8630221285#', '112.558411', '37.951491']
['8630003509#', '112.558377', '37.951472']
['8630295329#', '112.519774', '37.949556']
['8630496970#', '112.549115', '37.951598']
['8630036687#', '112.527261', '37.949731']
['0106830774#', '112.475297', '37.951594']
['8630061646#', '112.472369', '37.949372']
['8630150371#', '112.476495', '37.951729']
['8631093975#', '112.522298', '37.949709']
['8630723851#', '112.542122', '37.951565']
['8630153068#', '112.542846', '37.951368']
['8630979394#', '112.538561', '37.950864']
['8630067104#', '112.556087', '37.951372']
['8630481526#', '112.556015', '37.951357']
['8630283651#', '112.471856', '37.948924']
['8610149813#', '112.543402', '37.950925']
['8630778283#', '112.540333', '37.950359']
['8630500656#', '112.538797', '37.949787']
['0106627061#', '112.545804', '37.950825']
['8630074345#', '112.551867', '37.949595']
['8630705054#', '112.477762', '37.950816']
['8630007675#', '112.556373', '37.949764']
['8630067586#', '112.562336', '37.949032']
['8630156430#', '112.566342', '37.949746']
['8630320690#', '112.593201', '37.947722']
['8630011178#', '112.593236', '37.947627']
['8630064944#', '112.541594', '37.950279']
['8631095090#', '112.535809', '37.94921']
['0100321049#', '112.537436', '37.949538']
['8630112628#', '112.537561', '37.949612']
['8630748640#', '112.558514', '37.948467']
['8630447120#', '112.547867', '37.949204']
['8630037218#', '112.546132', '37.949404']
